report_id;entity_type;entity_value;analytical_relevance;ioc_id;confidence;first_seen;last_seen;context
TRN03089;Domain;node-3089-sync.example;Medium;;Not matched;;;
TRN03089;IPv4;198.51.100.10;Medium;;Not matched;;;
TRN03089;Malware/Tool;Sandstorm Loader;Context;;Not matched;;;
TRN03092;Domain;node-3092-sync.example;Medium;;Not matched;;;
TRN03092;IPv4;198.51.100.13;Medium;;Not matched;;;
TRN03092;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03093;Domain;node-3093-sync.example;Medium;;Not matched;;;
TRN03093;IPv4;198.51.100.14;Medium;;Not matched;;;
TRN03096;Domain;node-3096-sync.example;Medium;;Not matched;;;
TRN03096;IPv4;198.51.100.17;Medium;;Not matched;;;
TRN03096;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03096;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03106;Domain;node-3106-sync.example;Medium;;Not matched;;;
TRN03106;IPv4;198.51.100.27;Medium;;Not matched;;;
TRN03106;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03107;Domain;node-3107-sync.example;Medium;;Not matched;;;
TRN03107;IPv4;198.51.100.28;Medium;;Not matched;;;
TRN03107;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03107;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03108;Domain;node-3108-sync.example;Medium;;Not matched;;;
TRN03108;IPv4;198.51.100.29;Medium;;Not matched;;;
TRN03108;Threat Actor;Kalahari Jackal;Context;;Not matched;;;
TRN03109;Domain;node-3109-sync.example;Medium;;Not matched;;;
TRN03109;IPv4;198.51.100.30;Medium;;Not matched;;;
TRN03109;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03115;Domain;node-3115-sync.example;Medium;;Not matched;;;
TRN03115;IPv4;198.51.100.36;Medium;;Not matched;;;
TRN03122;Domain;node-3122-sync.example;Medium;;Not matched;;;
TRN03122;IPv4;198.51.100.43;Medium;;Not matched;;;
TRN03122;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03133;Domain;node-3133-sync.example;Medium;;Not matched;;;
TRN03133;IPv4;198.51.100.54;Medium;;Not matched;;;
TRN03133;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03139;Domain;node-3139-sync.example;Medium;;Not matched;;;
TRN03139;IPv4;198.51.100.60;Medium;;Not matched;;;
TRN03140;Domain;node-3140-sync.example;Medium;;Not matched;;;
TRN03140;IPv4;198.51.100.61;Medium;;Not matched;;;
TRN03142;Domain;node-3142-sync.example;Medium;;Not matched;;;
TRN03142;IPv4;198.51.100.63;Medium;;Not matched;;;
TRN03143;Domain;node-3143-sync.example;Medium;;Not matched;;;
TRN03143;IPv4;198.51.100.64;Medium;;Not matched;;;
TRN03153;Domain;node-3153-sync.example;Medium;;Not matched;;;
TRN03153;IPv4;198.51.100.74;Medium;;Not matched;;;
TRN03154;Domain;node-3154-sync.example;Medium;;Not matched;;;
TRN03154;IPv4;198.51.100.75;Medium;;Not matched;;;
TRN03154;Malware/Tool;Sandstorm Loader;Context;;Not matched;;;
TRN03158;Domain;node-3158-sync.example;Medium;;Not matched;;;
TRN03158;IPv4;198.51.100.79;Medium;;Not matched;;;
TRN03159;Domain;node-3159-sync.example;Medium;;Not matched;;;
TRN03159;IPv4;198.51.100.80;Medium;;Not matched;;;
TRN03160;Domain;node-3160-sync.example;Medium;;Not matched;;;
TRN03160;IPv4;198.51.100.81;Medium;;Not matched;;;
TRN03163;Domain;node-3163-sync.example;Medium;;Not matched;;;
TRN03163;IPv4;198.51.100.84;Medium;;Not matched;;;
TRN03163;Malware/Tool;PowerShell;Low;;Not matched;;;
TRN03163;Malware/Tool;Sandstorm Loader;Context;;Not matched;;;
